
'cl2' , 'hocl', 'cl2o', 'cl_', 'cl3_', 'ocl_', 'br2', 'hobr', 'br2o', 'br_', 'br3_', 'obr_', 'brcl', 'br2cl_', 'brcl2_', 'brocl', 'hp', 'oh_', 'nap'
1.880451404463482e-17, 4.755481080419866e-07, 7.180776431434002e-09, 2.8041097465905916e-05, 2.9440270598703238e-21, 6.137256312055551e-06, 1.1931002001207888e-15, 1.948664295442863e-06, 1.2296071704262786e-05, 7.660373028837265e-10, 7.936772869432225e-24, 1.482025838176138e-06, 5.645151919107165e-16, 2.6389582084369505e-23, 1.9930181449910618e-22, 3.2155930516779103e-13, 2.6252074553787782e-09, 3.809222764285175e-06, 6.269186338498528e-05
4.392698395940013e-18, 2.0584931404310922e-07, 3.108324642050951e-09, 2.9375222978224906e-05, 1.652101130438756e-21, 5.081141078884085e-06, 1.2438828305576938e-15, 1.9691559746338804e-06, 1.2425374200679024e-05, 1.8749599050218415e-09, 2.835933663500024e-23, 2.5368884589208024e-06, 3.081064615123579e-16, 8.398264200258338e-23, 2.724798353688949e-22, 1.4065981136930521e-13, 1.3725952485878237e-09, 7.285468903005723e-06, 6.402709781968629e-05
8.41338542826056e-22, 1.8313614270959256e-09, 2.7653557549148495e-11, 2.985970746391224e-05, 6.690252541631113e-23, 4.8069848976131795e-06, 4.2112883686972147e-13, 1.984687430105309e-06, 1.2523377683964363e-05, 9.162026820634179e-07, 6.212065090156461e-18, 2.809685372124261e-06, 2.836843663692633e-17, 4.2550936482825764e-19, 1.1210297667769523e-21, 1.2612333482702447e-15, 1.2907573689440798e-11, 0.0007747389432438899, 6.542591044714625e-05
7.252020844999502e-22, 1.5675030318816348e-09, 2.3669295781412688e-11, 2.9860732579061448e-05, 1.2736575015149436e-22, 4.806362247583477e-06, 1.0940046490899008e-12, 1.984707425682466e-06, 1.2523503856053748e-05, 2.380595037655401e-06, 4.193116935230243e-17, 2.8103068367313e-06, 6.353349069470054e-17, 2.6301549628022028e-18, 2.444334880322188e-21, 1.0795166709804542e-15, 1.1049202130426131e-11, 0.0009050427245296791, 6.689132859087445e-05
6.859894780032074e-22, 1.5027515770907163e-09, 2.2691548814069822e-11, 2.9861133010717987e-05, 1.9253996582159282e-22, 4.806140336198021e-06, 1.799187088173548e-12, 1.984712253318114e-06, 1.2523534318434431e-05, 3.915389032423239e-06, 1.1341844420170638e-16, 2.810528997464254e-06, 9.884272273378796e-17, 6.821451972715242e-18, 3.831700447780272e-21, 1.0349239505417908e-15, 1.0593256209677578e-11, 0.0009439968034441003, 6.842652372266787e-05
6.591871119753008e-22, 1.4734967878508546e-09, 2.2249801496547906e-11, 2.9861384228584707e-05, 2.611514653649385e-22, 4.806011781085457e-06, 2.5380008516933603e-12, 1.9847143727257695e-06, 1.2523547691896647e-05, 5.523431679143272e-06, 2.257007092404905e-16, 2.810658085601415e-06, 1.3398814242549862e-16, 1.3121761845655392e-17, 5.2853402855459876e-21, 1.0147770040422537e-15, 1.0387313292982205e-11, 0.0009627128515278461, 7.003481832634069e-05
6.367228998699641e-22, 1.4568385280352028e-09, 2.199826177333155e-11, 2.986156648511932e-05, 3.3315035907701315e-22, 4.805919534171284e-06, 3.3120102717718084e-12, 1.9847155276573606e-06, 1.2523554979514954e-05, 7.208123410164353e-06, 3.843666108819615e-16, 2.8107509894980967e-06, 1.688957434772575e-16, 2.1656501711013473e-17, 6.80826214199611e-21, 1.003304942748698e-15, 1.0270084281857498e-11, 0.0009737018436806197, 7.171969308827492e-05
6.163402273742578e-22, 1.4460880741829378e-09, 2.183592992016234e-11, 2.986170517668116e-05, 4.0863430273877814e-22, 4.8058447824971124e-06, 4.122878144587346e-12, 1.984716227253964e-06, 1.2523559393969504e-05, 8.973085249335733e-06, 5.956259191520837e-16, 2.81082647667429e-06, 2.0351963371983994e-16, 3.2554253793678444e-17, 8.403712333743739e-21, 9.959014084014529e-16, 1.0194461633488243e-11, 0.000980924776562065, 7.348479443035496e-05
5.971682361233395e-22, 1.4385798994915149e-09, 2.172255648232189e-11, 2.9861810873371057e-05, 4.877432420770462e-22, 4.80577947738974e-06, 4.9723528409994465e-12, 1.984716674253542e-06, 1.2523562214536812e-05, 1.0822126673801794e-05, 8.663738708275342e-16, 2.8108925787861923e-06, 2.3782186435941457e-16, 4.594684672837153e-17, 1.0075117058969117e-20, 9.907307267548683e-16, 1.014167302556201e-11, 0.0009860306060740743, 7.533394240158821e-05
5.788050005214935e-22, 1.433042211290954e-09, 2.1638937390493387e-11, 2.9861888763374014e-05, 5.706369637053418e-22, 4.805719600994923e-06, 5.8622682703483285e-12, 1.9847169652402226e-06, 1.2523564050662767e-05, 1.2759244437044518e-05, 1.2042618345905619e-15, 2.810953306573094e-06, 2.717681552303814e-16, 6.196945056366463e-17, 1.1826074592331232e-20, 9.869170519195266e-16, 1.0102761824929467e-11, 0.0009898283433074813, 7.727113894549118e-05
